,ETFID,ContractNum,Value
20180801,SZ159915,1,
20180802,SZ159915,1,
20180803,SZ159915,1,
20180806,SZ159915,1,
20180807,SZ159915,1,141.0
20180808,SZ159915,1,141.0
20180809,SZ159915,1,143.1
20180810,SZ159915,1,143.1
20180813,SZ159915,1,144.7
20180814,SZ159915,1,144.7
20180815,SZ159915,1,144.7
20180816,SZ159915,1,144.7
20180817,SZ159915,1,144.7
20180820,SZ159915,1,144.7
20180821,SZ159915,1,145.89999999999998
20180822,SZ159915,1,145.89999999999998
20180823,SZ159915,1,144.7
20180824,SZ159915,1,144.0
20180827,SZ159915,1,146.10000000000002
20180828,SZ159915,1,145.13571428571433
20180829,SZ159915,1,145.13571428571433
20180830,SZ159915,1,145.13571428571433
20180831,SZ159915,1,145.13571428571433
20180903,SZ159915,1,146.43571428571428
20180904,SZ159915,1,145.43571428571428
20180905,SZ159915,1,145.43571428571428
20180906,SZ159915,1,145.43571428571428
20180907,SZ159915,1,144.3857142857143
20180910,SZ159915,1,144.3857142857143
20180911,SZ159915,1,144.3857142857143
20180912,SZ159915,1,144.3857142857143
20180913,SZ159915,1,144.3857142857143
20180914,SZ159915,1,143.25000000000003
20180917,SZ159915,1,143.25000000000003
20180918,SZ159915,1,144.75000000000003
20180919,SZ159915,1,145.95000000000002
20180920,SZ159915,1,145.95000000000002
20180921,SZ159915,1,146.95000000000002
20180925,SZ159915,1,146.95000000000002
20180926,SZ159915,1,146.95000000000002
20180927,SZ159915,1,146.95000000000002
20180928,SZ159915,1,146.75
20181008,SZ159915,1,146.75
20181009,SZ159915,1,146.75
20181010,SZ159915,1,145.65
20181011,SZ159915,1,145.65
20181012,SZ159915,1,145.75000000000003
20181015,SZ159915,1,145.75000000000003
20181016,SZ159915,1,145.75000000000003
20181017,SZ159915,1,145.45000000000005
20181018,SZ159915,1,145.45000000000005
20181019,SZ159915,1,147.15000000000003
20181022,SZ159915,1,150.45000000000002
20181023,SZ159915,1,150.45000000000002
20181024,SZ159915,1,149.14285714285717
20181025,SZ159915,1,149.44285714285718
20181026,SZ159915,1,147.81428571428575
20181029,SZ159915,1,147.81428571428575
20181030,SZ159915,1,147.91428571428574
20181031,SZ159915,1,146.56428571428575
20181101,SZ159915,1,145.53571428571433
20181102,SZ159915,1,146.13571428571436
20181105,SZ159915,1,144.5928571428572
20181106,SZ159915,1,144.5928571428572
20181107,SZ159915,1,144.2928571428572
20181108,SZ159915,1,144.2928571428572
20181109,SZ159915,1,144.2928571428572
20181112,SZ159915,1,147.2928571428572
20181113,SZ159915,1,148.7928571428572
20181114,SZ159915,1,147.85000000000008
20181115,SZ159915,1,148.85000000000008
20181116,SZ159915,1,147.69285714285724
20181119,SZ159915,1,147.69285714285724
20181120,SZ159915,1,147.69285714285724
20181121,SZ159915,1,147.89285714285725
20181122,SZ159915,1,146.92857142857156
20181123,SZ159915,1,146.92857142857156
20181126,SZ159915,1,146.92857142857156
20181127,SZ159915,1,146.1785714285716
20181128,SZ159915,1,147.07857142857156
20181129,SZ159915,1,147.07857142857156
20181130,SZ159915,1,147.4785714285716
20181203,SZ159915,1,147.7785714285716
20181204,SZ159915,1,147.7785714285716
20181205,SZ159915,1,148.17857142857162
20181206,SZ159915,1,148.17857142857162
20181207,SZ159915,1,148.17857142857162
20181210,SZ159915,1,148.17857142857162
20181211,SZ159915,1,147.55714285714305
20181212,SZ159915,1,147.55714285714305
20181213,SZ159915,1,147.45714285714305
20181214,SZ159915,1,147.45714285714305
20181217,SZ159915,1,147.45714285714305
20181218,SZ159915,1,147.45714285714305
20181219,SZ159915,1,147.45714285714305
20181220,SZ159915,1,147.45714285714305
20181221,SZ159915,1,147.45714285714305
20181224,SZ159915,1,148.05714285714308
20181225,SZ159915,1,148.05714285714308
20181226,SZ159915,1,146.8571428571431
20181227,SZ159915,1,146.8571428571431
20181228,SZ159915,1,146.8571428571431
20190102,SZ159915,1,146.8571428571431
20190103,SZ159915,1,146.8571428571431
20190104,SZ159915,1,148.65714285714307
20190107,SZ159915,1,150.05714285714308
20190108,SZ159915,1,150.05714285714308
20190109,SZ159915,1,149.47857142857166
20190110,SZ159915,1,149.47857142857166
20190111,SZ159915,1,149.47857142857166
20190114,SZ159915,1,149.47857142857166
20190115,SZ159915,1,150.67857142857164
20190116,SZ159915,1,150.07857142857165
20190117,SZ159915,1,150.07857142857165
20190118,SZ159915,1,150.77857142857167
20190121,SZ159915,1,150.97857142857166
20190122,SZ159915,1,150.97857142857166
20190123,SZ159915,1,150.97857142857166
20190124,SZ159915,1,151.97857142857166
20190125,SZ159915,1,151.37857142857166
20190128,SZ159915,1,151.37857142857166
