,ETFID,ContractNum,Value
20200304,SH515030,1,98.5
20200305,SH515030,1,97.60000000000001
20200306,SH515030,1,97.60000000000001
20200309,SH515030,1,100.30000000000001
20200310,SH515030,1,99.00000000000001
20200311,SH515030,1,100.10000000000002
20200312,SH515030,1,100.60000000000002
20200313,SH515030,1,100.60000000000002
20200316,SH515030,1,106.10000000000002
20200317,SH515030,1,106.94000000000003
20200318,SH515030,1,105.78285714285715
20200319,SH515030,1,106.70285714285716
20200320,SH515030,1,107.34285714285716
20200323,SH515030,1,108.26285714285717
20200324,SH515030,1,108.94285714285718
20200325,SH515030,1,110.04285714285717
20200326,SH515030,1,110.34285714285717
20200327,SH515030,1,109.55000000000003
20200330,SH515030,1,108.52142857142861
20200331,SH515030,1,108.02142857142861
20200401,SH515030,1,107.14285714285718
20200402,SH515030,1,108.74285714285719
20200403,SH515030,1,109.3428571428572
20200407,SH515030,1,109.3428571428572
20200408,SH515030,1,109.64285714285718
20200409,SH515030,1,109.94285714285716
20200410,SH515030,1,111.54285714285717
20200413,SH515030,1,111.74285714285718
20200414,SH515030,1,112.84285714285717
20200415,SH515030,1,112.14285714285717
20200416,SH515030,1,111.15714285714287
20200417,SH515030,1,111.85714285714288
20200420,SH515030,1,111.45714285714287
20200421,SH515030,1,112.05714285714286
20200422,SH515030,1,111.41428571428574
20200423,SH515030,1,111.81428571428575
20200424,SH515030,1,112.71428571428575
20200427,SH515030,1,112.31428571428576
20200428,SH515030,1,113.15428571428575
20200429,SH515030,1,113.25428571428576
20200430,SH515030,1,113.55428571428577
20200506,SH515030,1,112.44000000000005
20200507,SH515030,1,111.77571428571434
20200508,SH515030,1,111.04714285714293
20200511,SH515030,1,112.04714285714293
20200512,SH515030,1,111.24714285714292
20200513,SH515030,1,111.24714285714292
20200514,SH515030,1,111.64714285714292
20200515,SH515030,1,110.9828571428572
20200518,SH515030,1,111.5828571428572
20200519,SH515030,1,111.28285714285721
20200520,SH515030,1,112.48285714285723
20200521,SH515030,1,114.58285714285722
20200522,SH515030,1,115.34285714285723
20200525,SH515030,1,115.24285714285723
20200526,SH515030,1,117.34285714285723
20200527,SH515030,1,116.42142857142865
20200528,SH515030,1,116.62142857142865
20200529,SH515030,1,116.92142857142866
20200601,SH515030,1,118.32142857142867
20200602,SH515030,1,118.42142857142868
20200603,SH515030,1,117.69285714285725
20200604,SH515030,1,117.59285714285726
20200605,SH515030,1,116.97142857142869
20200608,SH515030,1,116.30714285714298
20200609,SH515030,1,116.30714285714298
20200610,SH515030,1,116.30714285714298
20200611,SH515030,1,115.47142857142869
20200612,SH515030,1,115.47142857142869
20200615,SH515030,1,114.3714285714287
20200616,SH515030,1,115.27142857142869
20200617,SH515030,1,116.17142857142869
20200618,SH515030,1,116.57142857142868
20200619,SH515030,1,117.67142857142868
20200622,SH515030,1,117.02857142857154
20200623,SH515030,1,116.36428571428583
20200624,SH515030,1,116.16428571428581
20200629,SH515030,1,116.66428571428581
20200630,SH515030,1,116.10714285714296
20200701,SH515030,1,117.30714285714298
20200702,SH515030,1,117.50714285714298
20200703,SH515030,1,118.00714285714297
20200706,SH515030,1,120.70714285714298
20200707,SH515030,1,121.90714285714299
20200708,SH515030,1,120.70714285714298
20200709,SH515030,1,120.60714285714299
20200710,SH515030,1,120.60714285714299
20200713,SH515030,1,122.80714285714299
20200714,SH515030,1,123.927142857143
20200715,SH515030,1,124.96714285714299
20200716,SH515030,1,130.467142857143
20200717,SH515030,1,128.06714285714298
20200720,SH515030,1,128.56714285714298
20200721,SH515030,1,128.26714285714297
20200722,SH515030,1,127.36714285714298
20200723,SH515030,1,128.487142857143
20200724,SH515030,1,133.787142857143
20200727,SH515030,1,134.18714285714302
20200728,SH515030,1,134.18714285714302
20200729,SH515030,1,135.887142857143
20200730,SH515030,1,135.18000000000015
20200731,SH515030,1,133.74428571428587
20200803,SH515030,1,134.74428571428587
20200804,SH515030,1,133.56571428571445
20200805,SH515030,1,132.5585714285716
20200806,SH515030,1,131.85857142857162
20200807,SH515030,1,133.0585714285716
20200810,SH515030,1,132.1585714285716
