,ETFID,ContractNum,Value
20200210,SZ159995,1,103.94
20200211,SZ159995,1,104.44000000000001
20200212,SZ159995,1,106.84000000000002
20200213,SZ159995,1,104.56857142857145
20200214,SZ159995,1,106.66857142857144
20200217,SZ159995,1,107.36857142857143
20200218,SZ159995,1,109.96857142857144
20200219,SZ159995,1,111.08857142857144
20200220,SZ159995,1,108.90285714285719
20200221,SZ159995,1,107.31714285714291
20200224,SZ159995,1,109.8171428571429
20200225,SZ159995,1,106.11000000000003
20200226,SZ159995,1,108.67000000000003
20200227,SZ159995,1,110.27000000000004
20200228,SZ159995,1,108.51285714285719
20200302,SZ159995,1,105.89857142857146
20200303,SZ159995,1,107.01857142857146
20200304,SZ159995,1,109.05857142857145
20200305,SZ159995,1,107.55857142857144
20200306,SZ159995,1,107.45857142857145
20200309,SZ159995,1,108.33857142857144
20200310,SZ159995,1,106.45285714285717
20200311,SZ159995,1,110.25285714285717
20200312,SZ159995,1,109.85285714285716
20200313,SZ159995,1,107.23857142857143
20200316,SZ159995,1,112.03857142857142
20200317,SZ159995,1,109.33857142857143
20200318,SZ159995,1,110.25857142857141
20200319,SZ159995,1,108.24428571428571
20200320,SZ159995,1,108.94428571428573
20200323,SZ159995,1,109.86428571428573
20200324,SZ159995,1,111.46428571428572
20200325,SZ159995,1,110.15714285714286
20200326,SZ159995,1,111.85714285714285
20200327,SZ159995,1,110.69999999999997
20200330,SZ159995,1,109.37142857142854
20200331,SZ159995,1,110.97142857142853
20200401,SZ159995,1,109.87142857142854
20200402,SZ159995,1,115.07142857142854
20200403,SZ159995,1,114.77142857142856
20200407,SZ159995,1,114.97142857142856
20200408,SZ159995,1,114.13571428571429
20200409,SZ159995,1,114.7357142857143
20200410,SZ159995,1,118.4357142857143
20200413,SZ159995,1,119.53571428571429
20200414,SZ159995,1,121.13571428571429
20200415,SZ159995,1,122.13571428571429
20200416,SZ159995,1,120.54999999999998
20200417,SZ159995,1,119.30714285714284
20200420,SZ159995,1,118.04285714285712
20200421,SZ159995,1,119.00285714285712
20200422,SZ159995,1,118.50285714285712
20200423,SZ159995,1,119.10285714285713
20200424,SZ159995,1,121.00285714285715
20200427,SZ159995,1,120.20285714285714
20200428,SZ159995,1,118.33857142857143
20200429,SZ159995,1,118.43857142857142
20200430,SZ159995,1,121.83857142857143
20200506,SZ159995,1,124.73857142857142
20200507,SZ159995,1,122.73857142857142
20200508,SZ159995,1,120.8742857142857
20200511,SZ159995,1,122.37428571428569
20200512,SZ159995,1,121.25999999999998
20200513,SZ159995,1,120.29571428571427
20200514,SZ159995,1,118.86
20200515,SZ159995,1,120.16
20200518,SZ159995,1,118.68142857142858
20200519,SZ159995,1,116.90285714285716
20200520,SZ159995,1,114.41714285714286
20200521,SZ159995,1,117.31714285714285
20200522,SZ159995,1,118.47714285714287
20200525,SZ159995,1,119.47714285714287
20200526,SZ159995,1,118.7057142857143
20200527,SZ159995,1,120.1057142857143
20200528,SZ159995,1,121.02571428571432
20200529,SZ159995,1,119.78285714285717
20200601,SZ159995,1,122.88285714285716
20200602,SZ159995,1,121.96142857142858
20200603,SZ159995,1,120.78285714285715
20200604,SZ159995,1,119.21857142857145
20200605,SZ159995,1,118.04000000000002
20200608,SZ159995,1,119.64000000000001
20200609,SZ159995,1,118.89000000000006
20200610,SZ159995,1,118.49000000000005
20200611,SZ159995,1,117.7828571428572
20200612,SZ159995,1,116.86142857142863
20200615,SZ159995,1,115.1685714285715
20200616,SZ159995,1,115.2685714285715
20200617,SZ159995,1,115.2685714285715
20200618,SZ159995,1,116.46857142857151
20200619,SZ159995,1,115.71857142857155
20200622,SZ159995,1,115.61857142857154
20200623,SZ159995,1,114.31142857142868
20200624,SZ159995,1,114.61142857142869
20200629,SZ159995,1,113.49714285714296
20200630,SZ159995,1,114.69714285714296
20200701,SZ159995,1,115.69714285714296
20200702,SZ159995,1,115.49714285714296
20200703,SZ159995,1,113.69714285714298
20200706,SZ159995,1,121.797142857143
20200707,SZ159995,1,118.7328571428573
20200708,SZ159995,1,116.09714285714303
20200709,SZ159995,1,114.08285714285732
20200710,SZ159995,1,111.2542857142859
20200713,SZ159995,1,109.86142857142877
20200714,SZ159995,1,111.90142857142877
20200715,SZ159995,1,114.98142857142878
20200716,SZ159995,1,116.54142857142877
20200717,SZ159995,1,112.8557142857145
20200720,SZ159995,1,114.9557142857145
20200721,SZ159995,1,115.0557142857145
20200722,SZ159995,1,113.66285714285735
20200723,SZ159995,1,114.90285714285734
20200724,SZ159995,1,120.80285714285733
20200727,SZ159995,1,121.84285714285733
20200728,SZ159995,1,122.34285714285734
20200729,SZ159995,1,128.04285714285732
20200730,SZ159995,1,127.7428571428573
20200731,SZ159995,1,125.66428571428587
20200803,SZ159995,1,127.8642857142859
20200804,SZ159995,1,131.1642857142859
20200805,SZ159995,1,131.36428571428593
20200806,SZ159995,1,128.81428571428592
20200807,SZ159995,1,131.05428571428592
20200810,SZ159995,1,129.79000000000022
