	年化收益	年化波动	收益波动比	最大回撤	总费率	总交易天数	总换仓次数
银行ETF_maL_20_OnlyLong_Jump_longBars2	0.222487095	0.086720419	2.565567585	0.033065781	0.450296261	489	306
黄金ETF_maL_20_OnlyLong_Jump_longBars2	0.033851397	0.043815001	0.772598342	0.024104874	0.864650332	491	305
300ETF_maL_20_BiDirection_Jump_longBars2	0.282417397	0.115714459	2.440640526	0.068683808	0.489115664	491	492
500ETF_maL_20_BiDirection_Jump_longBars2	0.265697211	0.129597285	2.050175745	0.102914764	0.485564687	491	490
50ETF_maL_20_BiDirection_Jump_longBars2	0.284050182	0.108990903	2.606182487	0.047221719	0.496926008	491	491
5GETF_maL_20_BiDirection_Jump_longBars2	0.613112032	0.235968558	2.598278509	0.110998295	0.358900923	200	199
H股ETF_maL_20_BiDirection_Jump_longBars2	0.239356756	0.077545574	3.086659146	0.027613851	0.51351963	491	485
TMTETF_maL_20_BiDirection_Jump_longBars2	0.524435578	0.144312924	3.634016711	0.061800661	0.293539263	490	403
XFETF_maL_20_BiDirection_Jump_longBars2	0.407567859	0.129257507	3.15314653	0.066786105	0.420271497	491	490
军工ETF_maL_20_BiDirection_Jump_longBars2	0.311467671	0.156378652	1.99175314	0.076239874	0.451651928	491	485
军工龙头ETF_maL_20_BiDirection_Jump_longBars2	0.6899845	0.182961571	3.771199032	0.048037761	0.314049771	231	230
创业50_maL_20_BiDirection_Jump_longBars2	0.453692058	0.148315786	3.058960008	0.072418211	0.354702473	491	487
创业板_maL_20_BiDirection_Jump_longBars2	0.460016272	0.14431071	3.187679365	0.05072985	0.357879519	491	492
券商ETF_maL_20_BiDirection_Jump_longBars2	0.450072844	0.164554848	2.7350932	0.085988231	0.38651959	491	487
新能源车ETF_maL_20_BiDirection_Jump_longBars2	0.863917132	0.191099577	4.520769459	0.046870657	0.275925694	107	106
有色金属ETF_maL_20_BiDirection_Jump_longBars2	0.339901756	0.102600994	3.312850511	0.056905586	0.393185141	491	488
芯片ETF_maL_20_BiDirection_Jump_longBars2	1.171465642	0.269296886	4.350089814	0.06497342	0.258617309	124	125
证券ETF_maL_20_BiDirection_Jump_longBars2	0.421550205	0.164900161	2.556396568	0.073049399	0.404472357	491	487
银行ETF_maL_20_BiDirection_Jump_longBars2	0.289605141	0.092186615	3.14150965	0.05002352	0.476953768	491	483
黄金ETF_maL_20_BiDirection_Jump_longBars2	0.092474078	0.047425203	1.94989312	0.030632772	0.77215843	491	461
300ETF_maL_30_OnlyLong_Jump_longBars2	0.203490465	0.105121605	1.935762538	0.069738466	0.504139885	487	336
500ETF_maL_30_OnlyLong_Jump_longBars2	0.286356191	0.099876256	2.867109795	0.046628414	0.404811174	489	358
50ETF_maL_30_OnlyLong_Jump_longBars2	0.202390708	0.09488123	2.133095326	0.056597609	0.511707049	487	337
5GETF_maL_30_OnlyLong_Jump_longBars2	0.45010118	0.18114493	2.484757261	0.098592548	0.360161674	198	144
H股ETF_maL_30_OnlyLong_Jump_longBars2	0.090676519	0.070817244	1.28042994	0.052345261	0.648012756	489	290
TMTETF_maL_30_OnlyLong_Jump_longBars2	0.44202029	0.114494602	3.860621214	0.083878201	0.24767168	490	252
XFETF_maL_30_OnlyLong_Jump_longBars2	0.477452798	0.103654262	4.606205169	0.035866758	0.309557083	489	343
军工ETF_maL_30_OnlyLong_Jump_longBars2	0.282601443	0.151635176	1.863693177	0.073938104	0.404017606	487	315
军工龙头ETF_maL_30_OnlyLong_Jump_longBars2	0.504585698	0.163067991	3.094327069	0.041528722	0.308168241	230	167
创业50_maL_30_OnlyLong_Jump_longBars2	0.46577822	0.125601952	3.708367678	0.038650516	0.267985528	489	300
创业板_maL_30_OnlyLong_Jump_longBars2	0.426801694	0.124321253	3.433054961	0.07517157	0.318237846	487	341
券商ETF_maL_30_OnlyLong_Jump_longBars2	0.465454562	0.153771066	3.026932004	0.061509028	0.272653966	489	277
新能源车ETF_maL_30_OnlyLong_Jump_longBars2	0.210545776	0.135840021	1.549953943	0.043103448	0.492822337	106	73
有色金属ETF_maL_30_OnlyLong_Jump_longBars2	0.359310627	0.086511165	4.15334401	0.04446618	0.283768904	489	298
芯片ETF_maL_30_OnlyLong_Jump_longBars2	1.022945223	0.238941392	4.281155366	0.061165331	0.221590796	123	90
证券ETF_maL_30_OnlyLong_Jump_longBars2	0.435458792	0.155360495	2.802892674	0.047412912	0.283469853	489	271
银行ETF_maL_30_OnlyLong_Jump_longBars2	0.235414963	0.086262156	2.729064211	0.03925205	0.419440261	489	288
黄金ETF_maL_30_OnlyLong_Jump_longBars2	0.053231258	0.038799796	1.371946847	0.022756184	0.788236984	491	284
300ETF_maL_30_BiDirection_Jump_longBars2	0.303882894	0.113695094	2.672788094	0.054421082	0.468552276	491	489
500ETF_maL_30_BiDirection_Jump_longBars2	0.328833271	0.123786174	2.656462035	0.06472409	0.428327026	491	490
50ETF_maL_30_BiDirection_Jump_longBars2	0.285320573	0.108366745	2.632916326	0.059173988	0.495430033	491	487
5GETF_maL_30_BiDirection_Jump_longBars2	0.286402366	0.270327606	1.059463997	0.193534248	0.540451086	200	199
H股ETF_maL_30_BiDirection_Jump_longBars2	0.241138618	0.076989954	3.132079009	0.032952548	0.506427127	491	476
TMTETF_maL_30_BiDirection_Jump_longBars2	0.553065489	0.134540471	4.110774147	0.074103335	0.27696295	490	395
XFETF_maL_30_BiDirection_Jump_longBars2	0.401357982	0.130364087	3.078746541	0.050758593	0.426388634	491	486
军工ETF_maL_30_BiDirection_Jump_longBars2	0.3138316	0.15390948	2.039066081	0.083053839	0.448570613	491	479
军工龙头ETF_maL_30_BiDirection_Jump_longBars2	0.633980637	0.1809845	3.502955435	0.064831913	0.327581079	230	230
创业50_maL_30_BiDirection_Jump_longBars2	0.410336124	0.155855627	2.632796335	0.085824082	0.38472984	491	486
创业板_maL_30_BiDirection_Jump_longBars2	0.551594704	0.136789625	4.032430842	0.054963617	0.311234867	491	490
券商ETF_maL_30_BiDirection_Jump_longBars2	0.40387604	0.157033319	2.571913037	0.09411807	0.417199685	491	485
新能源车ETF_maL_30_BiDirection_Jump_longBars2	0.780491982	0.204111858	3.823844383	0.047636083	0.305527901	107	107
有色金属ETF_maL_30_BiDirection_Jump_longBars2	0.347029997	0.103960128	3.338106682	0.054703878	0.385504513	491	484
芯片ETF_maL_30_BiDirection_Jump_longBars2	1.102238477	0.28531022	3.863298268	0.088619299	0.273685446	124	125
证券ETF_maL_30_BiDirection_Jump_longBars2	0.416956448	0.165961159	2.512373676	0.09210005	0.407710341	491	484
银行ETF_maL_30_BiDirection_Jump_longBars2	0.266209099	0.095258734	2.79458995	0.040376523	0.499565239	491	477
黄金ETF_maL_30_BiDirection_Jump_longBars2	0.143154362	0.043982638	3.254792502	0.019337017	0.673546311	491	446
300ETF_maL_10_OnlyLong_Jump_longBars3	0.198779157	0.10582518	1.878372971	0.060637414	0.522449428	487	353
500ETF_maL_10_OnlyLong_Jump_longBars3	0.305581725	0.099453331	3.072614292	0.04069556	0.389799213	490	363
50ETF_maL_10_OnlyLong_Jump_longBars3	0.16482822	0.097689436	1.687267592	0.06112732	0.59533118	490	377
5GETF_maL_10_OnlyLong_Jump_longBars3	0.697111943	0.166316974	4.191465999	0.037592712	0.2649528	198	140
H股ETF_maL_10_OnlyLong_Jump_longBars3	0.074268966	0.06647532	1.117241204	0.033873601	0.680156139	489	272
TMTETF_maL_10_OnlyLong_Jump_longBars3	0.445587416	0.11653424	3.823660903	0.076255432	0.265960067	485	274
XFETF_maL_10_OnlyLong_Jump_longBars3	0.46592128	0.10259934	4.541172302	0.030573643	0.321472917	489	352
军工ETF_maL_10_OnlyLong_Jump_longBars3	0.328493592	0.132391236	2.481233672	0.066464086	0.341645547	490	293
军工龙头ETF_maL_10_OnlyLong_Jump_longBars3	0.392836521	0.164433723	2.389026488	0.051833096	0.366511834	230	169
创业50_maL_10_OnlyLong_Jump_longBars3	0.41617263	0.126566361	3.288177245	0.068424189	0.283066519	490	284
创业板_maL_10_OnlyLong_Jump_longBars3	0.405542853	0.11567167	3.505982517	0.052897562	0.324760563	490	341
券商ETF_maL_10_OnlyLong_Jump_longBars3	0.364169071	0.166757202	2.183828152	0.106085362	0.317984177	490	260
新能源车ETF_maL_10_OnlyLong_Jump_longBars3	0.257718685	0.131304992	1.96274857	0.061971629	0.447869791	106	74
