,Win,transaction_fee
20180802,True,1.0196854694400002
20180803,True,0.9982589856
20180806,True,0.9820322342400001
20180807,False,0.9867004669714288
20180808,True,0.9928799520000001
20180809,False,0.9797205305142856
20180810,False,1.0327744512000003
20180814,True,1.0444290240000003
20180815,True,1.0385120870400002
20180820,False,1.0219523478857144
20180821,True,1.0260506592
20180822,False,1.0139478336
20180824,False,1.0199992464
20180827,True,1.0327744512
20180828,False,1.0480150464000002
20180829,False,1.0363604736000003
20180904,True,1.0260506592
20180905,False,1.0202233728
20180907,False,1.022016384
20180910,True,0.9951212160000003
20180914,False,1.0012046468571432
20180917,False,0.9592609920000001
20180920,False,0.9718120704000002
20180921,False,0.9529854528000001
20180925,False,0.9603496059428572
20180926,True,0.9834666432000001
20180928,True,0.9942247104000002
20181008,True,0.9556749696
20181009,False,0.9328140768000001
20181016,True,0.8454047808
20181017,True,0.8584041120000001
20181022,False,0.8803684992000002
20181023,True,0.8736447072000002
20181025,True,0.8557145952000003
20181026,False,0.8669209152000001
20181031,False,0.8821615104000002
20181101,False,0.9063671616000001
20181105,False,0.8857475328000001
20181106,True,0.8897818080000001
20181108,False,0.8902300608000001
20181112,False,0.9153322176
20181113,False,0.9146598384000001
20181114,False,0.9292280544000003
20181119,False,0.9467099136000002
20181120,True,0.9256420320000001
20181122,False,0.9242972736
20181123,False,0.9305728128000001
20181126,True,0.9332623296000002
20181127,False,0.9335184740571428
20181128,False,0.8857475328000001
20181129,False,0.8974021056000001
20181203,True,0.9104014368000002
20181211,False,0.8817132576000002
20181212,False,0.909953184
20181217,True,0.8844924249600002
20181225,False,0.9013083085714286
20190108,False,0.8857475328000002
20190109,True,0.8835062688000002
20190110,True,0.8754377184000002
20190115,False,0.8857475328000001
20190122,True,0.8906783136000002
20190125,False,0.9027811392000002
20190211,True,0.9268074892800002
20190212,False,0.9682260480000002
20190213,False,0.9546183737142857
20190214,False,0.9659847840000002
20190218,True,0.9651779289600002
20190219,True,1.0067757888000002
20190220,False,1.013051328
20190221,False,1.0013967552
20190222,False,1.0148443392000002
20190225,True,1.0914059174400002
20190226,True,1.1000123712
20190227,True,1.0941850848
20190228,True,1.0901508096
20190301,False,1.0773435867428571
20190304,True,1.1273557920000004
20190306,False,1.1748065526857143
20190307,False,1.1796092612571432
20190308,True,1.1412516288000003
20190311,False,1.1829391392000004
20190312,False,1.2209765910857149
20190313,False,1.2295574304000003
20190314,False,1.1905594368
20190315,True,1.1614230048000003
20190318,False,1.1283163337142859
20190319,True,1.1685950496000002
20190320,True,1.1665330867200001
20190321,True,1.1766636000000001
20190322,True,1.1739740832
20190325,False,1.163728304914286
20190326,False,1.1560439712000001
20190327,False,1.128220279542857
20190328,True,1.1233215168000001
20190329,True,1.1345278368000002
20190401,True,1.1847321504000004
20190402,True,1.2049035264000003
20190403,False,1.2049035264
20190404,False,1.2075930432000002
20190408,True,1.1901111840000003
20190409,False,1.1815623627428575
20190410,False,1.1842838976000003
20190411,True,1.1793531168
20190412,True,1.1766636000000001
20190415,True,1.1762153472000003
20190416,False,1.1551474656
20190417,False,1.194433621714286
20190418,False,1.1950419648000001
20190419,True,1.1812357785600003
20190422,False,1.1959384704000002
20190423,True,1.1874216672000002
20190424,False,1.167698544
20190425,True,1.1641125216000003
20190426,True,1.1506649376
20190429,True,1.1125634496000003
20190430,False,1.1038225200000003
20190506,False,1.0378653222857146
20190508,True,1.02667821312
20190510,False,1.0224006006857143
20190513,True,1.0278436704000002
20190514,True,1.0188786144000002
20190515,True,1.0287401760000001
20190516,False,1.0179821088
20190517,True,1.0121548224
20190520,True,0.9969142272000002
20190521,True,1.0112583168000002
20190522,True,1.0103618112000003
20190523,True,1.0009485024000002
20190524,False,0.9785358624
20190527,True,1.0000519968000001
20190528,False,1.0167974406857145
20190529,True,1.0103618112000001
20190530,False,0.9959857035428574
20190531,False,0.9997318162285715
20190603,False,0.9861561600000002
20190604,False,0.9822819750857144
20190605,True,0.9834666432000001
20190606,True,0.9664330368
20190610,False,0.9655365312000002
20190611,True,0.9910869408000003
20190612,True,0.9973624800000002
20190613,False,0.9964659744000001
20190614,True,0.9852596544000001
20190617,False,0.9717160162285716
20190619,False,0.9991554912000001
20190620,False,0.988909712914286
20190621,False,1.028099814857143
20190624,False,1.0275875259428573
20190625,True,1.0143960864000001
20190626,True,1.0166373504000001
20190627,True,1.0394982432000002
20190628,False,1.0229128896000002
20190701,False,1.055667362057143
20190702,True,1.0786755379200001
20190703,True,1.071324192
20190705,True,1.0583248608
20190708,False,1.0520493216000002
20190709,False,1.0291884288000002
20190711,True,1.0580559091200004
20190712,False,1.0531059174857145
20190715,False,1.0473106491428572
20190716,False,1.0404908029714286
20190717,False,1.0548989286857144
20190718,True,1.0502563104000004
20190719,False,1.0596696192000001
20190722,False,1.0421877600000002
20190723,False,1.0498080576000002
20190724,True,1.0538423328000002
20190725,False,1.0561796509714287
20190726,True,1.0672899168
20190729,True,1.0775997312
20190730,False,1.0824664758857145
20190731,False,1.0816340064000003
20190801,False,1.0683465126857146
20190806,True,1.0426360128
20190807,False,1.0122828946285714
20190808,True,1.0143960864000001
20190809,True,1.0101825100800002
20190812,False,1.0054310304000003
20190813,False,1.0309814400000001
20190814,False,1.0251541536000002
20190816,False,1.0286121037714289
20190819,True,1.0695311808000003
20190820,False,1.0824024397714287
20190821,False,1.0831068370285717
20190822,False,1.0852200288000002
20190823,False,1.084163432914286
20190826,True,1.0699794336000001
20190827,True,1.0888060512000002
20190828,False,1.0953697529142856
20190829,False,1.08701304
