,annual_return,annual_return_std,return_std_ratio,daily_win_ratio,trade_win_ratio,maxdd,total_fee_ratio,total_trading_days,total_switching_times
20130418,0.15098679981747787,0.14654841881366235,1.030286106392311,0.6975806451612904,0.5958333333333333,0.09464689968146589,0.026730546915578673,495,240
20150422,0.13474712158062907,0.14108432090429338,0.9550821857237897,0.6961009174311926,0.5650118203309693,0.09464689968146589,0.02840574805351967,871,423
20200717,0.10103744328991637,0.1355565490438941,0.745352725504983,0.6825396825396826,0.5317286652078774,0.18294415043101953,0.039731850215479314,1826,914
