,ETFID,ContractNum,Value
20200304,SH515030,1,
20200305,SH515030,1,97.5
20200306,SH515030,1,97.5
20200309,SH515030,1,97.5
20200310,SH515030,1,97.5
20200311,SH515030,1,96.53571428571429
20200312,SH515030,1,96.53571428571429
20200313,SH515030,1,96.53571428571429
20200316,SH515030,1,96.53571428571429
20200317,SH515030,1,96.53571428571429
20200318,SH515030,1,95.33571428571429
20200319,SH515030,1,94.33571428571429
20200320,SH515030,1,94.33571428571429
20200323,SH515030,1,94.33571428571429
20200324,SH515030,1,93.28571428571428
20200325,SH515030,1,94.38571428571427
20200326,SH515030,1,94.38571428571427
20200327,SH515030,1,94.38571428571427
20200330,SH515030,1,94.08571428571427
20200331,SH515030,1,93.27142857142856
20200401,SH515030,1,93.95142857142856
20200402,SH515030,1,95.55142857142857
20200403,SH515030,1,95.55142857142857
20200407,SH515030,1,95.85142857142857
20200408,SH515030,1,95.85142857142857
20200409,SH515030,1,95.85142857142857
20200410,SH515030,1,95.85142857142857
20200413,SH515030,1,95.85142857142857
20200414,SH515030,1,97.45142857142858
20200415,SH515030,1,96.75142857142858
20200416,SH515030,1,96.75142857142858
20200417,SH515030,1,95.68
20200420,SH515030,1,95.68
20200421,SH515030,1,95.68
20200422,SH515030,1,96.18
20200423,SH515030,1,96.18
20200424,SH515030,1,96.18
20200427,SH515030,1,95.78000000000002
20200428,SH515030,1,95.58000000000001
20200429,SH515030,1,95.58000000000001
20200430,SH515030,1,96.78000000000002
20200506,SH515030,1,97.48000000000002
20200507,SH515030,1,96.88000000000002
20200508,SH515030,1,97.48000000000003
20200511,SH515030,1,97.48000000000003
20200512,SH515030,1,97.88000000000004
20200513,SH515030,1,98.08000000000006
20200514,SH515030,1,98.08000000000006
20200515,SH515030,1,98.88000000000007
20200518,SH515030,1,98.88000000000007
20200519,SH515030,1,98.28000000000007
20200520,SH515030,1,97.59428571428579
20200521,SH515030,1,97.59428571428579
20200522,SH515030,1,97.59428571428579
20200525,SH515030,1,97.59428571428579
20200526,SH515030,1,99.69428571428578
20200527,SH515030,1,98.7728571428572
20200528,SH515030,1,98.7728571428572
20200529,SH515030,1,99.07285714285722
20200601,SH515030,1,100.57285714285722
20200602,SH515030,1,100.57285714285722
20200603,SH515030,1,100.17285714285721
20200604,SH515030,1,100.17285714285721
20200605,SH515030,1,100.37285714285721
20200608,SH515030,1,99.7085714285715
20200609,SH515030,1,99.08714285714294
20200610,SH515030,1,99.28714285714294
20200611,SH515030,1,98.45142857142865
20200612,SH515030,1,98.25142857142865
20200615,SH515030,1,97.15142857142865
20200616,SH515030,1,98.15142857142865
20200617,SH515030,1,98.15142857142865
20200618,SH515030,1,98.95142857142864
20200619,SH515030,1,101.05142857142864
20200622,SH515030,1,100.4085714285715
20200623,SH515030,1,100.4085714285715
20200624,SH515030,1,99.44428571428578
20200629,SH515030,1,99.44428571428578
20200630,SH515030,1,99.54428571428578
20200701,SH515030,1,99.54428571428578
20200702,SH515030,1,98.79428571428579
20200703,SH515030,1,99.29428571428578
20200706,SH515030,1,102.29428571428578
20200707,SH515030,1,103.49428571428578
20200708,SH515030,1,103.99428571428577
20200709,SH515030,1,104.99428571428577
20200710,SH515030,1,104.99428571428577
20200713,SH515030,1,107.19428571428577
20200714,SH515030,1,107.19428571428577
20200715,SH515030,1,105.59428571428577
20200716,SH515030,1,105.59428571428577
20200717,SH515030,1,105.59428571428577
20200720,SH515030,1,106.49428571428578
20200721,SH515030,1,106.49428571428578
20200722,SH515030,1,105.89428571428579
20200723,SH515030,1,106.3942857142858
20200724,SH515030,1,106.3942857142858
20200727,SH515030,1,106.3942857142858
20200728,SH515030,1,106.3942857142858
20200729,SH515030,1,108.5942857142858
20200730,SH515030,1,107.97285714285724
20200731,SH515030,1,106.5157142857144
20200803,SH515030,1,107.5157142857144
20200804,SH515030,1,106.337142857143
20200805,SH515030,1,106.737142857143
20200806,SH515030,1,106.737142857143
20200807,SH515030,1,106.737142857143
20200810,SH515030,1,106.537142857143
