,Date,Time,FutureID,Action,Price,Profit,Amount
0,20200310,13:05:00,SH515030,long,0.9309999999999999,,93.1
0,20200310,14:55:00,SH515030,close_pos,0.9440000000000001,0.8758525000000122,94.4
0,20200317,13:05:00,SH515030,long,0.816,,94.4
0,20200317,13:40:00,SH515030,close_pos,0.803142857142857,-1.6519838297142901,93.11428571428571
0,20200318,09:55:00,SH515030,long,0.82,,93.11428571428571
0,20200318,13:35:00,SH515030,close_pos,0.8082142857142856,-1.54689303857144,91.93571428571427
0,20200319,14:15:00,SH515030,long,0.7829999999999999,,91.93571428571427
0,20200319,14:55:00,SH515030,close_pos,0.7809999999999999,-0.5537955680000002,91.73571428571427
0,20200324,10:00:00,SH515030,long,0.743,,91.73571428571427
0,20200324,11:25:00,SH515030,close_pos,0.7320714285714285,-1.4265360008571508,90.64285714285711
0,20200325,09:40:00,SH515030,long,0.769,,90.64285714285711
0,20200325,14:55:00,SH515030,close_pos,0.78,0.749597612000001,91.7428571428571
0,20200330,13:25:00,SH515030,long,0.753,,91.7428571428571
0,20200330,14:55:00,SH515030,close_pos,0.752,-0.4404490600000001,91.64285714285711
0,20200401,10:00:00,SH515030,long,0.7809999999999999,,91.64285714285711
0,20200401,14:25:00,SH515030,close_pos,0.7732857142857142,-1.1230266514285674,90.87142857142854
0,20200402,10:50:00,SH515030,long,0.7809999999999999,,90.87142857142854
0,20200402,14:55:00,SH515030,close_pos,0.797,1.2430374640000124,92.47142857142855
0,20200407,14:30:00,SH515030,long,0.813,,92.47142857142855
0,20200407,14:55:00,SH515030,close_pos,0.8109999999999999,-0.5673682880000002,92.27142857142854
0,20200414,10:00:00,SH515030,long,0.7929999999999999,,92.27142857142854
0,20200414,14:55:00,SH515030,close_pos,0.805,0.8385132240000122,93.47142857142856
0,20200415,09:40:00,SH515030,long,0.815,,93.47142857142856
0,20200415,14:55:00,SH515030,close_pos,0.8079999999999999,-1.0671420760000006,92.77142857142856
0,20200422,13:45:00,SH515030,long,0.8009999999999999,,92.77142857142856
0,20200422,14:55:00,SH515030,close_pos,0.8059999999999999,0.13647731600000046,93.27142857142856
0,20200427,13:05:00,SH515030,long,0.8059999999999999,,93.27142857142856
0,20200427,14:55:00,SH515030,close_pos,0.802,-0.7637488959999893,92.87142857142857
0,20200428,11:05:00,SH515030,long,0.807,,92.87142857142857
0,20200428,14:55:00,SH515030,close_pos,0.8009999999999999,-0.9637488960000117,92.27142857142856
0,20200430,10:00:00,SH515030,long,0.8370000000000001,,92.27142857142856
0,20200430,14:55:00,SH515030,close_pos,0.8440000000000001,0.3197376280000005,92.97142857142856
0,20200506,11:30:00,SH515030,long,0.8540000000000001,,92.97142857142856
0,20200506,14:55:00,SH515030,close_pos,0.86,0.21227263199998936,93.57142857142856
0,20200507,11:15:00,SH515030,long,0.86,,93.57142857142856
0,20200507,13:25:00,SH515030,close_pos,0.854,-0.9877273680000006,92.97142857142856
0,20200512,14:30:00,SH515030,long,0.856,,92.97142857142856
0,20200512,14:55:00,SH515030,close_pos,0.8590000000000001,-0.08795357999998865,93.27142857142857
0,20200515,11:25:00,SH515030,long,0.8640000000000001,,93.27142857142857
0,20200515,14:55:00,SH515030,close_pos,0.8640000000000001,-0.39089433600000006,93.27142857142857
0,20200520,09:50:00,SH515030,long,0.899,,93.27142857142857
0,20200520,11:20:00,SH515030,close_pos,0.8910714285714285,-1.1977927808571507,92.47857142857143
0,20200526,09:50:00,SH515030,long,0.8370000000000001,,92.47857142857143
0,20200526,14:55:00,SH515030,close_pos,0.858,1.7165706599999906,94.57857142857142
0,20200527,09:40:00,SH515030,long,0.873,,94.57857142857142
0,20200527,11:15:00,SH515030,close_pos,0.8637857142857143,-1.314310341428573,93.65714285714284
0,20200529,10:05:00,SH515030,long,0.866,,93.65714285714284
0,20200529,14:55:00,SH515030,close_pos,0.8690000000000001,-0.09247781999998872,93.95714285714286
0,20200601,10:00:00,SH515030,long,0.885,,93.95714285714286
0,20200601,14:55:00,SH515030,close_pos,0.9,1.0962115800000012,95.45714285714286
0,20200603,11:25:00,SH515030,long,0.9,,95.45714285714286
0,20200603,14:55:00,SH515030,close_pos,0.8959999999999999,-0.8062767520000115,95.05714285714285
0,20200605,14:20:00,SH515030,long,0.9179999999999999,,95.05714285714285
0,20200605,14:55:00,SH515030,close_pos,0.919,-0.3155514439999888,95.15714285714286
0,20200608,09:40:00,SH515030,long,0.9329999999999999,,95.15714285714286
0,20200608,11:25:00,SH515030,close_pos,0.9263571428571428,-1.0848946122857173,94.49285714285715
0,20200611,09:50:00,SH515030,long,0.958,,94.49285714285715
0,20200611,13:15:00,SH515030,close_pos,0.9496428571428571,-1.267245991714284,93.65714285714286
0,20200615,11:10:00,SH515030,long,0.9359999999999999,,93.65714285714286
0,20200615,14:55:00,SH515030,close_pos,0.925,-1.52098053199999,92.55714285714286
0,20200616,10:55:00,SH515030,long,0.9390000000000001,,92.55714285714286
0,20200616,14:55:00,SH515030,close_pos,0.948,0.47313795599998965,93.45714285714286
0,20200618,13:10:00,SH515030,long,0.9390000000000001,,93.45714285714286
0,20200618,14:55:00,SH515030,close_pos,0.943,-0.025730984000010837,93.85714285714285
0,20200619,10:20:00,SH515030,long,0.965,,93.85714285714285
0,20200619,14:55:00,SH515030,close_pos,0.976,0.660922508000001,94.95714285714284
0,20200622,10:05:00,SH515030,long,0.991,,94.95714285714284
0,20200622,14:05:00,SH515030,close_pos,0.9845714285714285,-1.0897551068571452,94.3142857142857
0,20200630,10:10:00,SH515030,long,0.995,,94.3142857142857
