,annual_return,annual_return_std,return_std_ratio,daily_win_ratio,trade_win_ratio,maxdd,total_fee_ratio,total_trading_days,total_switching_times
20130418,0.16997214351669987,0.15711780611739537,1.0818133712336844,0.7074148296593187,0.6160337552742616,0.09600741891541076,0.020173107403153992,498,237
20150422,0.15578974150993807,0.1451921039816905,1.0729904535964572,0.7036613272311213,0.5799522673031027,0.09600741891541076,0.02003381103238604,873,419
20200717,0.11035885731727779,0.13163748667724803,0.8383543328190267,0.685417804478427,0.5351170568561873,0.13999535370879523,0.030881009983260262,1830,897
