,curr_con,curr_con_trend,curr_con_trand2,next_con,next_con_trend,next_con_trend2,curr_con_trend2
20100825,IF1009,,,IF1010,,,
20100826,IF1009,,,IF1010,,,
20100827,IF1009,,,IF1010,,,-1.0
20100830,IF1009,,,IF1010,,,
20100831,IF1009,,,IF1010,,,
20100901,IF1009,,,IF1010,,,
20100902,IF1009,,,IF1010,,,
20100903,IF1009,,,IF1010,,,
20100906,IF1009,,,IF1010,,,
20100907,IF1009,,,IF1010,,,
20100908,IF1009,,,IF1010,,,
20100909,IF1009,,,IF1010,,,
20100910,IF1009,,,IF1010,,,
20100913,IF1009,,,IF1010,,,
20100914,IF1009,,,IF1010,,,
20100915,IF1009,,,IF1010,,,
20100916,IF1009,,,IF1010,,,
20100917,IF1009,,,IF1010,,,
20100920,IF1010,,,IF1011,,,
20100921,IF1010,,,IF1011,,,
20100927,IF1010,,,IF1011,,,
20100928,IF1010,,,IF1011,,,
20100929,IF1010,,,IF1011,,,
20100930,IF1010,1,,IF1011,1,,
20101008,IF1010,1,,IF1011,1,,
20101011,IF1010,,,IF1011,,1,1.0
20101012,IF1010,,,IF1011,,1,1.0
20101013,IF1010,,,IF1011,,1,1.0
20101014,IF1010,,,IF1011,,1,1.0
20101015,IF1010,1,,IF1011,1,1,1.0
20101018,IF1011,,,IF1012,,,1.0
20101019,IF1011,,,IF1012,,,1.0
20101020,IF1011,,,IF1012,1,,1.0
20101021,IF1011,,,IF1012,,,1.0
20101022,IF1011,,,IF1012,,,1.0
20101025,IF1011,1,,IF1012,1,1,1.0
20101026,IF1011,,,IF1012,,1,1.0
20101027,IF1011,,,IF1012,,,
20101028,IF1011,,,IF1012,,,
20101029,IF1011,,,IF1012,,,
20101101,IF1011,1,,IF1012,1,,
20101102,IF1011,,,IF1012,,,
20101103,IF1011,,,IF1012,,,
20101104,IF1011,,,IF1012,,,
20101105,IF1011,,,IF1012,,,
20101108,IF1011,,,IF1012,,,
20101109,IF1011,,,IF1012,,,
20101110,IF1011,,,IF1012,,,
20101111,IF1011,,,IF1012,,,
20101112,IF1011,-1,,IF1012,-1,,
20101115,IF1011,,,IF1012,,,
20101116,IF1011,-1,,IF1012,-1,,
20101117,IF1011,,,IF1012,,,-1.0
20101118,IF1011,,,IF1012,,,-1.0
20101119,IF1011,,,IF1012,,,-1.0
20101122,IF1012,,,IF1101,,,
20101123,IF1012,,,IF1101,,,
20101124,IF1012,1,,IF1101,1,,
20101125,IF1012,,,IF1101,,,
20101126,IF1012,,,IF1101,,,
20101129,IF1012,,,IF1101,,,
20101130,IF1012,,,IF1101,,,
20101201,IF1012,,,IF1101,,,
20101202,IF1012,,,IF1101,,,
20101203,IF1012,,,IF1101,,,
20101206,IF1012,,,IF1101,,,
20101207,IF1012,,,IF1101,,,
20101208,IF1012,,,IF1101,,,
20101209,IF1012,,,IF1101,,,
20101210,IF1012,,,IF1101,,,
20101213,IF1012,,,IF1101,1,,
20101214,IF1012,,,IF1101,,,
20101215,IF1012,,,IF1101,,,
20101216,IF1012,,,IF1101,,,
20101217,IF1012,,,IF1101,,,
20101220,IF1101,-1,,IF1102,,,
20101221,IF1101,1,,IF1102,1,,
20101222,IF1101,,,IF1102,,,
20101223,IF1101,,,IF1102,,,
20101224,IF1101,,,IF1102,,,
