,Win,transaction_fee
20100428,True,43.9806
20100429,False,43.29888
20100430,True,43.165848
20100504,True,42.49571999999999
20100514,True,41.0964
20100517,False,39.42384
20100521,False,37.737480000000005
20100525,True,39.320892
20100528,True,39.817139999999995
20100604,True,38.071439999999996
20100609,True,37.7292
20100617,False,38.20254
20100623,False,38.29086
20100709,True,37.3704
20100712,True,36.721248
20100716,True,36.17256
20100723,True,37.3083
20100728,False,38.446799999999996
20100803,True,39.2058
20100806,True,39.38796
20100809,False,40.019999999999996
20100816,True,39.8337
20100820,True,39.94824
20100830,True,40.13454
20100901,False,40.555440000000004
20100903,False,40.42700142857143
20100908,True,40.98738
20100914,True,40.921139999999994
20100917,True,40.23665999999999
20100927,False,39.56046
20100928,True,39.97445999999999
20100930,False,40.098659999999995
20101015,True,42.94974
20101020,True,46.89792
20101021,True,47.503463999999994
20101026,True,48.944736000000006
20101027,False,49.11804428571428
20101102,True,48.56634
20101103,False,48.664615714285716
20101105,True,48.98034
20101111,True,49.136832
20101112,False,48.60064285714286
20101119,True,45.60762
20101126,True,44.21658
20101201,True,43.60524
20101202,True,43.7874
20101203,True,43.8909
20101207,True,43.682796
20101208,True,44.26902
20101216,True,44.582556000000004
20101221,True,44.813016000000005
20101223,False,45.07011
20101228,False,43.848119999999994
20110105,False,44.100660000000005
20110107,True,43.93506
20110114,False,43.12115571428572
20110121,True,41.512332
20110201,True,41.952
20110210,True,42.351924
20110211,True,42.820296
20110217,True,44.0289
20110218,True,44.46774
20110222,True,45.047892
20110225,True,44.669219999999996
20110301,True,44.6016
20110302,True,44.80418400000001
20110309,True,45.70698
20110316,True,45.47376
20110317,False,44.40623142857143
20110330,False,45.27927857142857
20110401,True,44.88174
20110411,True,45.61314
20110413,True,46.283544
20110415,False,46.220734285714286
20110421,True,46.1955
20110428,True,44.70372
20110503,True,44.41612800000001
20110511,True,43.8288
20110512,False,43.343335714285715
20110513,True,43.072008
20110517,True,42.944496
20110519,True,43.2561
20110520,True,43.177440000000004
20110527,True,41.53938
20110602,False,41.197829999999996
20110609,True,41.1723
20110614,True,41.147736
20110615,False,41.09364
20110617,True,40.661699999999996
20110622,True,40.01448
20110623,False,40.27677857142857
20110624,False,40.35672
20110629,True,41.43588
20110630,False,42.08822571428571
20110704,False,42.341159999999995
20110706,True,42.807599999999994
20110711,False,43.0905
20110713,True,42.78027599999999
20110714,False,42.86694
20110715,False,42.97044
20110719,False,43.18434
20110722,True,42.76592399999999
20110725,False,42.40878
20110802,True,40.885536
20110804,False,40.93356
20110805,False,40.53336
20110811,False,38.895300000000006
20110816,True,39.826800000000006
20110819,True,39.192
20110823,True,38.567136000000005
20110824,True,38.93118
20110825,False,39.0678
20110829,True,39.30654
20110831,False,39.54892714285714
20110916,True,38.50338
20110927,True,37.202040000000004
20110928,False,36.529979999999995
20111011,True,36.294551999999996
20111017,True,36.69006
20111021,True,35.67024
20111101,True,36.146339999999995
20111102,True,37.032852
20111108,True,37.597272000000004
20111114,False,37.5084
20111115,True,37.73886
20111118,True,36.916380000000004
20111123,False,36.03318
20111124,True,35.882208
20111201,True,35.751659999999994
20111207,True,35.38734
20111208,False,34.886399999999995
20111216,True,33.620940000000004
20111220,False,32.92266
20111221,False,33.1545
20111222,True,32.819435999999996
20111226,False,32.55144
20111230,False,32.19559714285714
20120109,True,32.34858
20120116,True,32.5404
20120118,True,33.778812
20120120,True,34.370279999999994
20120206,True,34.41858
20120208,True,34.460532
20120209,True,34.77324
20120214,False,35.01612
20120215,False,34.9692
20120217,False,34.9968
20120217,False,524.1654
20120221,True,35.245751999999996
20120301,True,35.92278
20120302,False,36.66108
20120305,True,36.92328
20120308,True,36.6873
20120312,True,36.50238
20120313,False,36.779759999999996
20120314,False,36.9012
20120316,True,36.34368
20120320,False,36.18084
20120322,True,36.051396
20120406,True,35.07822
20120410,False,34.478609999999996
20120420,True,35.49498
20120424,True,36.191052
20120508,True,36.756299999999996
20120514,True,36.84876
20120515,False,36.18912
20120517,True,35.69784
20120518,True,533.646
20120523,False,35.754419999999996
20120528,True,35.594616
20120530,True,36.013859999999994
20120601,False,36.50376
20120604,False,36.17256
20120608,True,35.12127600000001
20120612,False,35.120999999999995
20120613,False,35.1486
20120615,False,35.300399999999996
20120627,True,34.67112
20120628,False,33.93824142857143
20120703,False,34.016999999999996
20120704,True,34.130160000000004
20120709,True,34.078272
20120712,True,33.83484
20120713,True,33.723060000000004
20120719,False,33.49674
20120720,True,33.32286
20120803,True,32.638932
20120808,True,32.81502
20120809,False,33.188507142857134
20120817,True,32.5335
20120903,True,30.939324
20120906,False,30.636
20120918,True,30.887712
20120921,True,30.56976
20120925,False,30.674639999999997
20120927,False,30.749357142857136
20121008,True,31.474488
20121011,False,32.162279999999996
20121012,True,31.960248
20121019,True,32.0919
20121019,False,482.57910000000004
20121101,True,32.08527599999999
20121105,False,31.9539
20121106,False,31.894461428571425
20121108,False,31.47819428571428
20121116,True,30.37104
20121123,False,30.169559999999997
20121126,False,30.31722
20121203,True,29.91426
20121204,False,29.43954
20121206,False,30.5532
20121207,True,30.682368
20121211,True,31.159019999999998
20121214,False,31.357838571428573
20121221,True,32.4024
20121226,True,33.83346
20130104,True,34.666979999999995
20130107,False,34.960919999999994
20130108,False,34.90798714285714
20130110,False,35.027159999999995
20130114,True,34.914552
20130116,False,35.74091571428571
20130118,True,535.3434
20130124,False,36.08039571428571
20130125,False,36.20814428571429
20130208,True,37.444919999999996
20130218,True,38.253048
20130228,True,36.560064
20130304,False,36.42924
20130311,False,36.1077
