,Win,transaction_fee
20190827,True,0.5057773525
20190829,False,0.5121629883928571
20190830,True,0.51924842
20190902,True,0.5393325569999999
20190903,True,0.5508441964999999
20190904,False,0.54863984
20190905,False,0.5520688389999999
20190906,False,0.5538708129642858
20190909,True,0.5577021945
20190910,False,0.5627407236428571
20190911,True,0.5464354834999999
20190912,False,0.5460855856428571
20190916,False,0.5490597174285714
20190917,True,0.537373129
20190918,True,0.526596275
20190919,True,0.532474559
20190920,False,0.5302702025
20190923,False,0.528555703
20190924,False,0.530025274
20190925,True,0.5234122045
20190926,True,0.5116556365000001
20190927,False,0.5078592447500001
20190930,True,0.501613568
20191008,True,0.4962251409999999
20191009,False,0.49221881053571415
20191010,False,0.49475557
20191011,False,0.4950354882857143
20191014,True,0.501613568
20191015,True,0.495735284
20191016,False,0.4945806210714286
20191017,False,0.4905917855
20191018,True,0.486428001
20191021,False,0.48005986
20191022,True,0.48667292949999996
20191023,True,0.486917858
20191024,False,0.48471350150000003
20191025,False,0.48263160925
20191028,True,0.500143997
20191029,True,0.4967149980000001
20191030,False,0.49010192849999995
20191031,True,0.486917858
20191101,True,0.49083671399999995
20191104,False,0.49262119307142854
20191105,False,0.49095917825
20191106,True,0.49793964049999995
20191107,True,0.49720485500000006
20191108,True,0.49524542700000007
20191111,True,0.483978716
20191112,True,0.48005986
20191113,False,0.479080146
20191114,False,0.47881772260714284
20191115,False,0.4799548906428571
20191118,False,0.4754936929642856
20191119,True,0.48348885899999994
20191120,False,0.4849409351071428
20191121,False,0.48445107810714283
20191122,False,0.48707531203571425
20191125,False,0.4785552992142857
20191126,False,0.47963998257142854
20191127,False,0.47920261024999994
20191128,False,0.47663086099999996
20191129,False,0.4764734069642857
20191202,False,0.4817218748214286
20191203,True,0.483488859
20191204,True,0.4891222145
20191205,True,0.49451064149999996
20191206,False,0.495735284
20191209,False,0.495735284
20191210,False,0.49487803425000004
20191211,False,0.4954028810357143
20191212,False,0.49524542700000007
20191213,True,0.4974497835
20191216,True,0.5043077814999999
20191217,True,0.513370136
20191218,True,0.515329564
20191219,True,0.5131252074999999
20191220,True,0.5082266375000001
20191223,True,0.5008787825
20191224,True,0.501613568
20191225,True,0.50455271
20191227,False,0.5079817090000001
20191230,False,0.5048151333928572
20191231,False,0.5088739485357142
20200102,True,0.517288992
20200103,True,0.5268412035
20200106,False,0.5378105013214285
20200107,False,0.540802128
20200108,False,0.5410470565
20200109,False,0.5350987929285714
20200110,True,0.5341890585
20200113,True,0.5356586295
20200114,True,0.5341890585
20200115,True,0.530515131
20200116,True,0.5332093444999999
20200117,True,0.5305151309999999
20200120,True,0.5376180575
20200121,True,0.534923844
20200122,False,0.5262113873571428
20200123,True,0.525126704
20200203,True,0.46854822049999995
20200204,False,0.4738316781428571
20200205,True,0.486917858
20200206,True,0.501613568
20200207,False,0.5077017907142858
20200210,False,0.5120055343571428
20200211,False,0.5106059429285714
20200212,False,0.5093987953214286
20200213,False,0.5146297682857143
20200214,False,0.5131951870714285
20200217,True,0.5378629859999999
20200218,True,0.5547630525
20200219,False,0.5512990637142857
20200220,False,0.5507042373571429
20200221,True,0.5655399065
20200224,False,0.5721704708928571
20200225,True,0.5601024938
20200226,False,0.5742523631428572
20200227,False,0.5637379325357144
20200228,True,0.5405082137999999
20200302,True,0.548149983
20200303,False,0.5653474626785714
20200304,False,0.5637729223214286
20200305,False,0.5608862649999999
20200309,True,0.5363934149999999
20200310,False,0.5311274522499999
20200311,False,0.5542731955
20200312,False,0.5376180574999999
20200313,False,0.5206480114285714
20200316,True,0.5180237775000001
20200317,True,0.5014176252
20200318,False,0.5104659837857143
20200319,False,0.4958402533571429
20200320,False,0.5026982513571427
20200323,True,0.48446857299999996
20200324,False,0.4866729295
20200325,False,0.4945106415
20200326,False,0.4938983202499999
20200327,True,0.492796142
20200330,False,0.4785727941071429
20200331,False,0.4820017931071428
20200401,False,0.482509145
20200402,True,0.48667292949999996
20200403,False,0.488387429
20200407,True,0.504062853
20200408,True,0.5121454935
20200409,False,0.5167291554285715
20200410,False,0.5107459020714287
20200413,False,0.5038179245000001
20200414,True,0.5106759224999999
20200415,True,0.5084715659999999
20200416,False,0.5115856569285715
20200417,False,0.5133176513214286
20200421,False,0.5184086651428571
20200422,False,0.5169565890357144
20200423,False,0.5219426334999999
20200424,True,0.5171910206
20200427,True,0.5092063514999999
20200428,True,0.5024953105999999
20200429,True,0.5082266375
20200430,True,0.5194933485
20200506,False,0.5222575415714287
20200507,False,0.5338741504285714
20200508,True,0.5390876285
20200511,False,0.5425166275
20200512,False,0.5410470564999998
20200514,False,0.5410820462857143
20200515,False,0.5429889896071428
20200518,False,0.5508441964999999
20200519,False,0.5513690432857142
20200520,True,0.5444760555
20200521,True,0.5371282005
20200522,True,0.5283107745
20200525,True,0.51924842
20200526,True,0.5243919185
20200527,True,0.5209629195
20200528,False,0.51924842
20200529,False,0.5204730625
20200601,True,0.5302702024999999
20200602,False,0.5349238439999999
20200603,True,0.5317397735
20200604,True,0.5278209175
20200605,False,0.5253716325
20200608,True,0.527086132
20200609,False,0.5249867448571428
20200610,False,0.5241469899999999
20200611,True,0.5258614895
20200612,True,0.5261064179999999
20200615,True,0.5229223474999999
20200616,False,0.5234122044999999
20200617,False,0.5323345998571428
20200618,True,0.5283107745
20200619,True,0.5322296305
20200622,False,0.5352387520714286
20200623,False,0.5347139052857143
20200624,False,0.5359210528928572
20200629,False,0.5386152663928572
20200630,True,0.5430064845
20200702,True,0.554028267
20200706,True,0.587338543
20200707,False,0.6150154635
20200708,True,0.641222813
20200709,False,0.679431659
20200710,True,0.6746310604000001
20200713,False,0.6678500399285714
20200714,True,0.6775702024
20200715,True,0.665225806
20200716,True,0.6426923840000001
20200717,False,0.648570668
20200720,True,0.6948621545
20200721,True,0.6801664445
20200722,True,0.686779514
20200723,False,0.6933226039285715
20200724,True,0.6963317255
20200727,False,0.6845751575000001
20200728,False,0.6958418685000001
20200729,True,0.7095578645
20200730,False,0.71874268325
20200731,True,0.7051491515
20200803,True,0.7440927829999999
20200804,True,0.742623212
20200805,True,0.7609928495
20200806,False,0.7721021064642858
20200807,False,0.7948629620714285
20200810,False,0.8279283095714287
