ETF	maLength		LongHoldBars	年化收益	年化波动	收益波动比	最大回撤	总费率	总交易天数	总换仓次数
新能源车ETF	20	BiDirection	6	0.963604055	0.175954996	5.476423394	0.034199891	0.558192013	107	102
芯片ETF	30	OnlyLong	6	0.55103123	0.203672433	2.705477724	0.070770206	0.560618765	123	62
TMTETF	30	OnlyLong	6	0.357340512	0.09284982	3.848585933	0.056273719	0.709135081	485	190
创业板	30	OnlyLong	6	0.355352015	0.104436048	3.402580061	0.057248498	0.621273141	487	251
军工龙头ETF	30	OnlyLong	6	0.399904788	0.142524904	2.805859022	0.061761396	0.608306042	230	112
新能源车ETF	30	OnlyLong	6	0.107896929	0.12490209	0.863852071	0.033395453	0.82908743	103	47
芯片ETF	30	BiDirection	6	0.631842885	0.276781286	2.28282372	0.084337627	0.695142979	124	124
TMTETF	30	BiDirection	6	0.529738464	0.127426097	4.15722115	0.052733108	0.740948064	490	375
创业板	30	BiDirection	6	0.532089159	0.127868239	4.161230039	0.060882091	0.639352088	491	482
军工龙头ETF	30	BiDirection	6	0.561716456	0.175575151	3.199293585	0.066681233	0.684088587	230	222
新能源车ETF	30	BiDirection	6	0.732936274	0.19404959	3.777056547	0.044334774	0.622768557	107	101
