,ETFID,ContractNum,Value
20190826,SH512710,1,
20190827,SH512710,1,103.60000000000001
20190828,SH512710,1,102.9357142857143
20190829,SH512710,1,102.63571428571431
20190830,SH512710,1,103.43571428571431
20190902,SH512710,1,106.9357142857143
20190903,SH512710,1,108.1357142857143
20190904,SH512710,1,108.1357142857143
20190905,SH512710,1,107.9357142857143
20190906,SH512710,1,107.27142857142856
20190909,SH512710,1,108.27142857142856
20190910,SH512710,1,107.0285714285714
20190911,SH512710,1,107.0285714285714
20190912,SH512710,1,107.12857142857139
20190916,SH512710,1,106.69999999999997
20190917,SH512710,1,106.69999999999997
20190918,SH512710,1,106.09999999999998
20190919,SH512710,1,106.8
20190920,SH512710,1,106.39999999999999
20190923,SH512710,1,106.39999999999999
20190924,SH512710,1,106.39999999999999
20190925,SH512710,1,106.39999999999999
20190926,SH512710,1,106.39999999999999
20190927,SH512710,1,105.9
20190930,SH512710,1,105.10000000000001
20191008,SH512710,1,105.10000000000001
20191009,SH512710,1,105.20000000000002
20191010,SH512710,1,104.72857142857146
20191011,SH512710,1,104.72857142857146
20191014,SH512710,1,105.52857142857145
20191015,SH512710,1,105.52857142857145
20191016,SH512710,1,105.05714285714289
20191017,SH512710,1,105.05714285714289
20191018,SH512710,1,105.05714285714289
20191021,SH512710,1,105.05714285714289
20191022,SH512710,1,105.7571428571429
20191023,SH512710,1,105.7571428571429
20191024,SH512710,1,105.7571428571429
20191025,SH512710,1,106.8571428571429
20191028,SH512710,1,107.4571428571429
20191029,SH512710,1,107.4571428571429
20191030,SH512710,1,107.4571428571429
20191031,SH512710,1,107.4571428571429
20191101,SH512710,1,107.8571428571429
20191104,SH512710,1,107.38571428571431
20191105,SH512710,1,107.58571428571432
20191106,SH512710,1,107.2857142857143
20191107,SH512710,1,106.83571428571432
20191108,SH512710,1,106.47142857142859
20191111,SH512710,1,106.47142857142859
20191112,SH512710,1,106.47142857142859
20191113,SH512710,1,106.47142857142859
20191114,SH512710,1,106.47142857142859
20191115,SH512710,1,106.15000000000002
20191118,SH512710,1,106.25000000000001
20191119,SH512710,1,107.45
20191120,SH512710,1,107.04285714285714
20191121,SH512710,1,106.94285714285715
20191122,SH512710,1,106.38571428571429
20191125,SH512710,1,106.38571428571429
20191126,SH512710,1,106.48571428571428
20191127,SH512710,1,106.08571428571427
20191128,SH512710,1,106.08571428571427
20191129,SH512710,1,106.08571428571427
20191202,SH512710,1,105.76428571428572
20191203,SH512710,1,106.16428571428573
20191204,SH512710,1,107.26428571428572
20191205,SH512710,1,107.96428571428571
20191206,SH512710,1,108.16428571428571
20191209,SH512710,1,107.8642857142857
20191210,SH512710,1,108.26428571428568
20191211,SH512710,1,107.7285714285714
20191212,SH512710,1,107.52857142857142
20191213,SH512710,1,108.02857142857144
20191216,SH512710,1,109.72857142857146
20191217,SH512710,1,110.52857142857145
