,0
annual_return,0.41526133140039456
annual_return_std,0.15153258803119654
return_std_ratio,2.740409418170191
maxdd,0.061159665270411945
total_fee_ratio,0.6390318235520787
total_trading_days,230.0
total_switching_times,134.0
